char,type,sheet,sx,sy,line,order,width,height
114C116F1158,2,1,8498,1264,1,1,312,352
115911751102,1,1,8491,1953,1,2,313,345
110E11671102,5,1,8464,2646,1,3,343,353
11001161114C,3,1,8464,3338,1,4,359,344
110C11750000,9,1,8476,4057,1,5,332,299
110F11691100,2,1,8472,4704,1,6,331,322
110A1163114C,6,1,8465,5397,1,7,334,333
110111740000,20,1,8037,1979,2,1,309,300
11591175111A,26,1,8048,2636,2,2,309,350
114C116C0000,1,1,7610,1959,3,1,284,299
110911671100,3,1,7545,2613,3,2,333,338
110011610000,3,1,7565,3320,3,3,366,310
1108116E111A,2,1,7590,3988,3,4,322,335
1106116E0000,5,1,7585,4700,3,5,335,317
11051163114C,2,1,7580,5389,3,6,353,341
1106116E0000,8,1,7602,6119,3,7,334,311
110711671102,2,1,7112,1606,4,1,336,337
11001169114C,2,1,7099,2311,4,2,341,335
110311731100,4,1,7104,2984,4,3,332,317
110B11731105,19,1,7117,3658,4,4,354,344
110011651107,1,1,7133,4016,4,5,314,345
110011651107,4,1,7135,4706,4,6,316,341
110B11660000,17,1,7111,5428,4,7,368,306
110B11650000,5,1,7148,5756,4,8,331,305
110211730000,2,1,7138,6097,4,9,327,275
110311610000,20,1,6610,1261,5,1,369,300
1109119E1105,5,1,6658,1583,5,2,301,325
112B119E0000,17,1,6696,1926,5,3,250,339
110511750000,16,1,6683,2314,5,4,299,290
110111740000,18,1,6208,1981,6,1,315,304
114011750000,6,1,6201,2669,6,2,334,306
110911680000,7,1,5741,1251,7,1,363,311
110C11691102,8,1,5743,1929,7,2,323,333
110900000000,16,1,5747,2649,7,3,339,240
110B11751105,2,1,5754,2964,7,4,295,340
1109119E1105,10,1,5762,3311,7,5,293,332
112B11690000,4,1,5731,3657,7,6,332,322
110511750000,33,1,5749,4056,7,7,292,292
110211750000,21,1,5753,4357,7,8,286,297
110611651102,4,1,5735,4671,7,9,337,322
110511750000,31,1,5721,5400,7,10,303,292
110900000000,11,1,5293,1612,8,1,348,245
110B11751105,11,1,5323,1926,8,2,297,339
110B11750000,49,1,5304,2295,8,3,314,283
110911750000,33,1,5312,2638,8,4,312,285
110211610000,13,1,5295,2963,8,5,342,303
1102116E1102,2,1,5286,3309,8,6,328,332
110B11660000,15,1,5283,3680,8,7,363,306
110711690000,11,1,5297,4023,8,8,332,292
110211691102,1,1,5301,4366,8,9,327,332
110011610000,23,1,5283,4718,8,10,352,308
110211650000,4,1,5286,5075,8,11,293,294
110011750000,7,1,5249,5428,8,12,312,309
1140119E0000,16,1,5230,5788,8,13,344,302
112B119E0000,6,1,5281,6094,8,14,242,331
1109116D0000,1,1,4533,1262,9,1,326,300
110911670000,2,1,4541,1600,9,2,337,322
110911680000,15,1,4072,1253,10,1,364,312
110C11691102,6,1,4070,1920,10,2,323,333
110900000000,2,1,4067,2632,10,3,340,246
110611611105,6,1,4060,2948,10,4,336,341
1109119E1105,8,1,4071,3294,10,5,294,333
112B11690000,3,1,4034,3638,10,6,336,315
110511750000,32,1,4071,4013,10,7,298,281
110211750000,66,1,4058,4356,10,8,292,285
